Time,Left_X,Left_Y,FOG
0.033357796,393.4710503,1046.97876,0
0.066715591,393.2423544,1048.036041,0
0.100073387,393.2211971,1048.02742,0
0.133431183,392.7796412,1048.740692,0
0.166788979,392.5087166,1050.672836,0
0.200146774,392.2039747,1051.972122,0
0.23350457,391.9976807,1051.938477,0
0.266862366,391.8864012,1051.905518,0
0.300220161,391.8480778,1051.697922,0
0.333577957,391.8179083,1051.666794,0
0.366935753,391.8314695,1051.569138,0
0.400293549,392.0629978,1051.693649,0
0.433651344,392.0926523,1051.785812,0
0.46700914,392.3366261,1051.68045,0
0.500366936,392.3373127,1051.676636,0
0.533724731,392.3859358,1051.66687,0
0.567082527,392.4074793,1051.658936,0
0.600440323,391.6244459,1051.720276,0
0.633798119,391.6556454,1051.20842,0
0.667155914,391.8243885,1046.450729,0
0.70051371,393.9522171,1040.242081,0
0.733871506,396.5471792,1032.659302,0
0.767229301,398.0281019,1029.748917,0
0.800587097,400.5725098,1022.751846,0
0.833944893,403.708334,1012.984695,0
0.867302689,402.6627445,1007.135544,0
0.900660484,400.0103617,993.7677765,0
0.93401828,388.183279,989.372406,0
0.967376076,378.913908,977.9460907,0
1.000733872,373.2798529,984.6053314,0
1.034091667,362.1410036,988.3316803,0
1.067449463,356.3543844,985.704422,0
1.100807259,344.1167521,947.036972,0
1.134165054,344.3667555,952.9150391,0
1.16752285,342.1577311,951.8003845,0
1.200880646,342.2109675,947.7120972,0
1.234238442,343.603828,942.0263672,0
1.267596237,347.4730754,948.3818054,0
1.300954033,339.7149467,948.8977814,0
1.334311829,326.7934155,959.4639587,0
1.367669624,323.3392024,960.4623413,0
1.40102742,327.5942373,961.1047363,0
1.434385216,328.7664485,961.3844299,0
1.467743012,327.9132271,967.0829773,0
1.501100807,327.5488329,964.4913483,0
1.534458603,324.4333506,964.1805267,0
1.567816399,322.6844859,961.7336273,0
1.601174194,315.474987,950.5499268,0
1.63453199,309.6203041,949.9976349,0
1.667889786,310.9921575,956.4483643,0
1.701247582,313.0915332,963.8059998,0
1.734605377,318.8805127,991.6365051,0
1.767963173,330.6596375,1007.74971,0
1.801320969,340.9722376,1029.309235,0
1.834678764,351.4566278,1047.910233,0
1.86803656,355.1149035,1053.315735,0
1.901394356,356.979661,1061.962204,0
1.934752152,358.1142998,1066.263809,0
1.968109947,359.327538,1067.599182,0
2.001467743,359.575181,1070.961456,0
2.034825539,358.9235115,1072.56012,0
2.068183334,359.0455198,1073.918381,0
2.10154113,360.5164433,1072.430649,0
2.134898926,361.8090105,1075.73761,0
2.168256722,361.7247248,1079.335098,0
2.201614517,361.7180729,1078.959274,0
2.234972313,361.8045902,1083.15834,0
2.268330109,361.1651516,1080.680313,0
2.301687904,360.8632421,1079.124451,0
2.3350457,360.5457973,1078.300705,0
2.368403496,360.3957224,1076.46965,0
2.401761292,360.2468061,1075.850601,0
2.435119087,356.6983724,1072.951508,0
2.468476883,356.6289783,1072.9039,0
2.501834679,356.5715146,1072.844925,0
2.535192474,357.0745897,1070.084839,0
2.56855027,358.0495191,1069.703217,0
2.601908066,358.1539106,1069.632797,0
2.635265862,357.599659,1069.581833,0
2.668623657,358.0788302,1069.538269,0
2.701981453,358.0284047,1069.636841,0
2.735339249,356.4601707,1067.051544,0
2.768697044,355.9760857,1066.848755,0
2.80205484,356.0165977,1069.354477,0
2.835412636,356.0463595,1069.109955,0
2.868770432,356.0098386,1067.971268,0
2.902128227,352.9752731,1065.093765,0
2.935486023,350.2846527,1060.942383,0
2.968843819,336.5136766,1044.732437,0
3.002201615,326.0485983,1031.853943,0
3.03555941,320.062809,1021.46225,0
3.068917206,307.0527649,1004.282455,0
3.102275002,295.3960562,988.7763977,0
3.135632797,294.618752,967.0053101,0
3.168990593,298.2441974,970.6332397,0
3.202348389,298.0871916,971.9541931,0
3.235706185,299.2731357,973.0680084,0
3.26906398,298.882606,976.3768768,0
3.302421776,295.5531049,973.2008362,0
3.335779572,294.9659586,971.95755,0
3.369137367,297.4207377,968.6710358,0
3.402495163,301.3884544,971.0261536,0
3.435852959,304.5290637,971.3008881,0
