Time,Left_X,Left_Y,FOG
0.533724731,432.2465658,1079.892273,1
0.567082527,417.5367308,1081.754684,1
0.633798119,431.4393282,1062.751541,1
0.667155914,434.2328167,1062.847672,1
0.70051371,434.6470356,1069.074554,1
0.733871506,434.9982119,1076.201935,1
0.767229301,435.8701229,1075.753174,1
0.800587097,436.7310905,1070.796127,1
0.833944893,439.1509581,1068.148041,1
0.867302689,440.0663853,1067.429504,1
0.900660484,440.8692026,1063.371429,1
0.93401828,440.4493618,1054.092865,1
0.967376076,440.1438904,1051.688385,1
1.000733872,440.6152725,1049.396591,1
1.034091667,442.3890495,1041.078415,1
1.067449463,442.3615408,1030.915909,1
1.100807259,442.606287,1031.416473,1
1.134165054,442.4570274,1032.202835,1
1.16752285,441.6464853,1029.208221,1
1.200880646,439.4861269,1030.535812,1
1.234238442,434.0705967,1038.410568,1
1.267596237,433.1574869,1044.664917,1
1.300954033,433.0212307,1042.869492,1
1.334311829,431.8796825,1037.307053,1
1.367669624,432.2621012,1044.782639,1
1.40102742,432.3036861,1042.095184,1
1.434385216,431.906805,1037.41127,1
1.467743012,432.0900536,1037.484512,1
1.501100807,429.4311476,1037.50412,1
1.534458603,429.6601009,1046.743698,1
1.567816399,431.3146162,1046.573105,1
1.601174194,431.3413095,1046.390762,1
1.63453199,432.2048521,1047.513885,1
1.667889786,432.8711128,1068.012161,1
1.701247582,432.6064968,1064.848175,1
1.734605377,436.0432863,1063.568268,1
1.767963173,436.2343025,1061.944046,1
1.801320969,435.2116299,1036.094513,1
1.834678764,434.6444607,1021.352005,1
1.86803656,431.301012,1018.619232,1
1.901394356,434.6866035,1031.686859,1
1.934752152,435.6807375,1042.475815,1
1.968109947,436.3452816,1060.248337,1
2.001467743,436.2356329,1058.272018,1
2.034825539,430.5410671,1072.803955,1
2.068183334,428.7207699,1073.589401,1
2.10154113,428.8935041,1070.839615,1
2.134898926,427.4483299,1056.663208,1
2.168256722,425.803771,1044.162521,1
2.201614517,426.1868334,1042.373734,1
2.234972313,426.5059948,1042.049026,1
2.268330109,428.0423641,1045.758667,1
2.301687904,428.1790495,1054.010925,1
2.3350457,428.3302402,1069.382782,1
2.368403496,427.6814032,1067.56424,1
2.401761292,426.76898,1062.893982,1
2.435119087,425.6408215,1062.796326,1
2.468476883,425.7697821,1054.813385,1
2.501834679,425.7829142,1058.186722,1
2.535192474,425.8773708,1060.224152,1
2.56855027,425.6621933,1036.755066,1
2.601908066,425.6973839,1029.529114,1
2.635265862,427.1095562,1028.701172,1
2.668623657,427.1839714,1030.53833,1
2.701981453,425.3117466,1049.449234,1
2.735339249,426.5617847,1049.676361,1
2.768697044,427.4125814,1068.446426,1
2.80205484,425.7584095,1078.75412,1
2.835412636,427.2838783,1076.384354,1
2.868770432,430.5719662,1076.046524,1
2.902128227,436.4455318,1080.745239,1
2.935486023,440.8407497,1079.773026,1
2.968843819,440.9522867,1084.023514,1
3.002201615,441.0391045,1087.051086,1
3.03555941,441.0597467,1086.442795,1
3.068917206,441.0180759,1087.443466,1
3.102275002,440.7898951,1086.47049,1
3.135632797,440.3997517,1086.242828,1
3.168990593,440.3034925,1085.666122,1
3.202348389,440.2140141,1085.400162,1
3.235706185,440.1111889,1085.800018,1
3.26906398,440.1062965,1085.615005,1
3.302421776,440.0462151,1085.552444,1
3.335779572,440.4962254,1084.238968,1
3.369137367,442.3721838,1080.875778,1
3.402495163,443.9124584,1080.619049,1
3.435852959,444.0498304,1083.38028,1
3.469210755,444.6013355,1088.230286,1
3.50256855,446.8425035,1097.356033,1
3.535926346,446.4887524,1096.063385,1
3.569284142,446.7217398,1096.625137,1
